schoolname,ncesid,ncesdistid_admin,ncesdistid_geo,census_id,pp_stloc_raw,pp_fed_raw,pp_total_raw,pp_total_norm_NERDS,flag_nerds,flag_f33,schoolstloc_raw,schoolfed_raw,schooltot_raw,distid_stateassigned,schoolid_stateassigned,distname,address,city,state,zip_code,ncesenroll,enroll_raw,enrollmetric_raw,gradespan,level
Leal (Frank C.) Elementary,060162000021,0601620,0601620,05501970200000,9687,919,10606,10806.29255,false,NRD,7420242,703954,8124196,19642120000000,19642126085609,ABC Unified,12920 DROXFORD ST.,CERRITOS,CA,90703,766,766,CALPADS Fall 1 Submission enrollment,KG-06,2
Melbourne (Ella P.) Elementary,060162000022,0601620,0601620,05501970200000,11973,1270,13243,13443.29255,false,NRD,5483634,581660,6065294,19642120000000,19642126010912,ABC Unified,21314 CLARETTA AVE.,LAKEWOOD,CA,90715,458,458,CALPADS Fall 1 Submission enrollment,KG-06,2
Stowers(Cecil B.) Elementary,060162000026,0601620,0601620,05501970200000,9688,919,10607,10807.29255,false,NRD,6490960,615730,7106690,19642120000000,19642126066716,ABC Unified,13350 BEACH ST.,CERRITOS,CA,90703,670,670,CALPADS Fall 1 Submission enrollment,KG-06,2
Tetzlaff (Martin B.) Middle,060162000027,0601620,0601620,05501970200000,11058,919,11977,12177.29255,false,NRD,7143468,593674,7737142,19642120000000,19642126057459,ABC Unified,12351 E. DEL AMO BLVD.,CERRITOS,CA,90703,646,646,CALPADS Fall 1 Submission enrollment,07-08,3
Tracy (Wilbur) High (Continuation),060162000028,0601620,0601620,05501970200000,16078,992,17070,17270.29255,false,NRD,3842642,237088,4079730,19642120000000,19642121931641,ABC Unified,12222 CUESTA DR.,CERRITOS,CA,90703,239,239,CALPADS Fall 1 Submission enrollment,09-12,4
Wittmann (Helen) Elementary,060162000031,0601620,0601620,05501970200000,9534,919,10453,10653.29255,false,NRD,5911080,569780,6480860,19642120000000,19642126093447,ABC Unified,16801 YVETTE AVE.,CERRITOS,CA,90703,620,620,CALPADS Fall 1 Submission enrollment,KG-06,2
Academia Avance Charter,060229110895,0602291,0602291,NRD,13556,704,14260,13173.91304,false,NRD,5300396,275264,5575660,19769680109926,01099260109926,Academia Avance Charter,115 N. AVE. 53,HIGHLAND PARK,CA,90042,391,391,CALPADS Fall 1 Submission enrollment,06-12,4
Academy for Academic Excellence,060191107296,0601911,0601911,NRD,987,6148,7135,7713.890809,false,NRD,1428189,8896156,10324345,36750773631207,36312073631207,Academy for Academic Excellence,17500 MANA RD.,APPLE VALLEY,CA,92307,1447,1447,CALPADS Fall 1 Submission enrollment,KG-12,4
Academy of Media Arts,060250314434,0602503,0602503,NRD,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,19647330139055,01390550139055,Academy of Media Arts,2009 W. MLK BLVD.,LOS ANGELES,CA,90062,NRD,NRD,CALPADS Fall 1 Submission enrollment,09-12,4
Campolindo High,060165000033,0601650,0601650,05500700100000,14428,230,14658,15300.56519,false,NRD,20285768,323380,20609148,07616300000000,07616300731125,Acalanes Union High,300 MORAGA RD.,MORAGA,CA,94556,1406,1406,CALPADS Fall 1 Submission enrollment,09-12,4
Las Lomas High,060165000035,0601650,0601650,05500700100000,13606,353,13959,14601.56519,false,NRD,21783206,565153,22348359,07616300000000,07616300733725,Acalanes Union High,1460 S. MAIN ST.,WALNUT CREEK,CA,94596,1601,1601,CALPADS Fall 1 Submission enrollment,09-12,4
Accelerated Charter Elementary,060147110830,0601471,0601471,NRD,10830,756,11586,NRD,false,1,5425830,378756,5804586,19647330100743,01007430100743,Accelerated Charter Elementary,3914 S. MAIN ST.,LOS ANGELES,CA,90037,501,501,CALPADS Fall 1 Submission enrollment,KG-06,2
ACE Charter High,060156113023,0601561,0601561,NRD,12452,539,12991,NRD,false,1,4520076,195657,4715733,43694270125617,01256170125617,ACE Charter High,1776 EDAL PARK DR.,SAN JOSE,CA,95133,363,363,CALPADS Fall 1 Submission enrollment,09-12,4
Achieve Charter High,060161514213,0601615,0601615,NRD,15117,NRD,15117,NRD,true,1,725616,NRD,725616,01368200136820,01368200136820,Achieve Charter High District,5850 CLARK RD.,PARADISE,CA,95969,48,48,CALPADS Fall 1 Submission enrollment,09-12,4
High Desert,060000109444,0600001,0600001,05501909400000,13778,730,14508,14171.21659,false,NRD,4987636,264260,5251896,19753090000000,19753096107494,Acton-Agua Dulce Unified,3620 ANTELOPE WOODS RD.,ACTON,CA,93510,362,362,CALPADS Fall 1 Submission enrollment,05-08,3
Adelanto Elementary,060171000038,0601710,0601710,05503600100000,12361,1539,13900,14627.54324,false,NRD,3980242,495558,4475800,36675870000000,36675876035174,Adelanto Elementary,17931 JONATHAN ST.,ADELANTO,CA,92301,322,322,CALPADS Fall 1 Submission enrollment,KG-05,2
Adelanto Virtual Academy,060171014369,0601710,0601710,05503600100000,7347,10169,17516,18243.54324,false,NRD,213063,294901,507964,36675870000000,36675870138529,Adelanto Elementary,17738 NEVADA AVE.,VICTORVILLE,CA,92394,29,29,CALPADS Fall 1 Submission enrollment,KG-08,3
Eagle Ranch Elementary,060171009690,0601710,0601710,05503600100000,10846,1430,12276,13003.54324,false,NRD,6811288,898040,7709328,36675870000000,36675876109409,Adelanto Elementary,12545 EAGLE RANCH PKWY.,ADELANTO,CA,92301,628,628,CALPADS Fall 1 Submission enrollment,KG-05,2
El Mirage,060171013193,0601710,0601710,05503600100000,12329,1485,13814,14541.54324,false,NRD,1726060,207900,1933960,36675870000000,36675870125880,Adelanto Elementary,19250 ST. ANTHONY AVE.,ADELANTO,CA,92301,140,140,CALPADS Fall 1 Submission enrollment,KG-08,3
George Visual and Performing Arts Magnet and Middle,060171011089,0601710,0601710,05503600100000,9996,1258,11254,11981.54324,false,NRD,7277088,915824,8192912,36675870000000,36675870107425,Adelanto Elementary,10650 BARTLETT AVE.,ADELANTO,CA,92301,728,728,CALPADS Fall 1 Submission enrollment,KG-08,3
Morgan Kincaid Preparatory,060171010603,0601710,0601710,05503600100000,9664,1413,11077,11804.54324,false,NRD,7760192,1134639,8894831,36675870000000,36675876120604,Adelanto Elementary,13257 MESA LINDA AVE.,VICTORVILLE,CA,92392,803,803,CALPADS Fall 1 Submission enrollment,KG-05,2
West Creek Elementary,060171011736,0601710,0601710,05503600100000,10583,1589,12172,12899.54324,false,NRD,4931678,740474,5672152,36675870000000,36675870112086,Adelanto Elementary,15763 COLBALT RD.,VICTORVILLE,CA,92395,466,466,CALPADS Fall 1 Submission enrollment,KG-05,2
Westside Park Elementary,060171009110,0601710,0601710,05503600100000,10210,1422,11632,12359.54324,false,NRD,5829910,811962,6641872,36675870000000,36675876106694,Adelanto Elementary,18270 CASABA RD.,ADELANTO,CA,92301,571,571,CALPADS Fall 1 Submission enrollment,KG-05,2
AeroSTEM Academy,060172414234,0601724,0601724,NRD,13526,4200,17726,17193.54839,false,NRD,838612,260400,1099012,51105120138040,01380400138040,AeroSTEM Academy,442 FRANKLIN AVE.,YUBA CITY,CA,95991,62,62,CALPADS Fall 1 Submission enrollment,06-12,4
Agnes J. Johnson Charter,060254306363,0602543,0602543,NRD,13705,1449,15154,12816.00903,true,NRD,918235,97083,1015318,60082216008221,60082216008221,Agnes J. Johnson Charter District,NRD,NRD,CA,NRD,NRD,67,NRD,NRD,NRD
Alain Leroy Locke College Preparatory Academy,060209212248,0602092,0602092,NRD,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,19647330118588,01185880118588,Alain Leroy Locke College Preparatory Academy,325 E. 111TH ST.,LOS ANGELES,CA,90061,1393,1393,CALPADS Fall 1 Submission enrollment,09-12,4
Alameda County Community,069105106830,0691051,0691051,05100100130100,35739,4374,40113,NRD,false,1,4753287,581742,5335029,01100170000000,01100170130419,Alameda County Office of Education,313 W. WINTON AVE.,HAYWARD,CA,94544,133,133,CALPADS Fall 1 Submission enrollment,KG-12,4
Epic Charter,069105113772,0691051,0691051,05100100130100,NRD,NRD,NRD,NRD,true,1,NRD,NRD,NRD,01100170000000,01100170129403,Alameda County Office of Education,NRD,NRD,CA,NRD,NRD,246,NRD,NRD,NRD
Opportunity Academy,069105114090,0691051,0691051,05100100130100,23062,3279,26341,NRD,false,1,1637402,232809,1870211,01100170000000,01100170136226,Alameda County Office of Education,2300 INTERNATIONAL BLVD.,OAKLAND,CA,94601,71,71,CALPADS Fall 1 Submission enrollment,10-12,4
Alameda High,060177000041,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,01611190000000,01611190130229,Alameda Unified,2201 ENCINAL AVE.,ALAMEDA,CA,94501,1767,1767,CALPADS Fall 1 Submission enrollment,09-12,4
Alameda Unified Special Education,060177014340,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,true,1,NRD,NRD,NRD,01611190000000,01611190138214,Alameda Unified,2060 CHALLENGER DR.,ALAMEDA,CA,94501,NRD,NRD,CALPADS Fall 1 Submission enrollment,NRD,NRD
Amelia Earhart Elementary,060177000043,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,01611190000000,01611196100374,Alameda Unified,400 PACKET LANDING RD.,ALAMEDA,CA,94502,651,651,CALPADS Fall 1 Submission enrollment,KG-05,2
Edison Elementary,060177000044,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,01611190000000,01611196090013,Alameda Unified,2700 BUENA VISTA AVE.,ALAMEDA,CA,94501,469,469,CALPADS Fall 1 Submission enrollment,KG-05,2
Encinal Junior/Senior High,060177000045,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,01611190000000,01611190132142,Alameda Unified,210 CENTRAL AVE.,ALAMEDA,CA,94501,1261,1261,CALPADS Fall 1 Submission enrollment,06-12,4
Franklin Elementary,060177004337,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,01611190000000,01611196090039,Alameda Unified,1433 SAN ANTONIO AVE.,ALAMEDA,CA,94501,335,335,CALPADS Fall 1 Submission enrollment,KG-05,2
Island High (Continuation),060177000048,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,01611190000000,01611190134304,Alameda Unified,500 PACIFIC AVE.,ALAMEDA,CA,94501,96,96,CALPADS Fall 1 Submission enrollment,09-12,4
Maya Lin,060177013107,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,01611190000000,01611190139220,Alameda Unified,NRD,NRD,CA,NRD,NRD,427,CALPADS Fall 1 Submission enrollment,KG-05,2
Will C. Wood Middle,060177000057,0601770,0601770,05500100100000,NRD,NRD,NRD,NRD,false,1,NRD,NRD,NRD,01611190000000,01611196090112,Alameda Unified,420 GRAND ST.,ALAMEDA,CA,94501,575,575,CALPADS Fall 1 Submission enrollment,06-08,3
Albany High,060186000059,0601860,0601860,05500100200000,12188,304,12492,13704.14123,false,NRD,14235584,355072,14590656,01611270000000,01611270130450,Albany City Unified,603 KEY ROUTE BLVD.,ALBANY,CA,94706,1168,1168,CALPADS Fall 1 Submission enrollment,09-12,4
Albany Middle,060186000060,0601860,0601860,05500100200000,12170,319,12489,13701.14123,false,NRD,10490540,274978,10765518,01611270000000,01611276090161,Albany City Unified,1259 BRIGHTON AVE.,ALBANY,CA,94706,862,862,CALPADS Fall 1 Submission enrollment,06-08,3
Cornell Elementary,060186000061,0601860,0601860,05500100200000,12033,247,12280,13492.14123,false,NRD,6750513,138567,6889080,01611270000000,01611276090146,Albany City Unified,920 TALBOT AVE.,ALBANY,CA,94706,561,561,CALPADS Fall 1 Submission enrollment,KG-05,2
Marin Elementary,060186000062,0601860,0601860,05500100200000,11261,203,11464,12676.14123,false,NRD,5675544,102312,5777856,01611270000000,01611276095376,Albany City Unified,1001 SANTA FE AVE.,ALBANY,CA,94706,504,504,CALPADS Fall 1 Submission enrollment,KG-05,2
Albert Einstein Academy Charter Elementary,060240910637,0602409,0602409,NRD,3958,444,4402,NRD,false,1,3170358,355644,3526002,37683386120935,61209356120935,Albert Einstein Academy Charter Elementary,3035 ASH ST.,SAN DIEGO,CA,92102,801,801,CALPADS Fall 1 Submission enrollment,KG-05,2
Alder Grove Charter School 2,060207211593,0602072,0602072,NRD,8630,621,9251,9182.389937,false,NRD,4116510,296217,4412727,12630320111203,01112030111203,Alder Grove Charter School 2,714 F ST.,EUREKA,CA,95501,477,477,CALPADS Fall 1 Submission enrollment,KG-12,4
Alexander Valley Elementary,060189000064,0601890,0601890,05504900100000,21214,745,21959,21281.81818,false,NRD,2333540,81950,2415490,49705990000000,49705996051577,Alexander Valley Union Elementary,8511 HIGHWAY 128,HEALDSBURG,CA,95448,110,110,CALPADS Fall 1 Submission enrollment,KG-06,2
Alhambra High,060015310929,0600153,0600153,05501900200000,12293,535,12828,NRD,false,1,29367977,1278115,30646092,19757130000000,19757131930163,Alhambra Unified,101 S. SECOND ST.,ALHAMBRA,CA,91801,2389,2389,CALPADS Fall 1 Submission enrollment,09-12,4
Garfield Elementary,060015310937,0600153,0600153,05501900200000,14286,455,14741,NRD,false,1,7857300,250250,8107550,19757130000000,19757136011035,Alhambra Unified,110 W. MCLEAN ST.,ALHAMBRA,CA,91801,550,550,CALPADS Fall 1 Submission enrollment,KG-08,3
Independence High (Alternative),060015310932,0600153,0600153,05501900200000,9682,176,9858,NRD,false,1,735832,13376,749208,19757130000000,19757131995430,Alhambra Unified,20 S. MARENGO AVE.,ALHAMBRA,CA,91801,76,76,CALPADS Fall 1 Submission enrollment,09-12,4
Mark Keppel High,060015310930,0600153,0600153,05501900200000,11557,508,12065,NRD,false,1,26084149,1146556,27230705,19757130000000,19757131934553,Alhambra Unified,501 E. HELLMAN AVE.,ALHAMBRA,CA,91801,2257,2257,CALPADS Fall 1 Submission enrollment,09-12,4
Martha Baldwin Elementary,060015310940,0600153,0600153,05501900200000,11266,521,11787,NRD,false,1,12088418,559033,12647451,19757130000000,19757136011068,Alhambra Unified,900 S. ALMANSOR ST.,ALHAMBRA,CA,91801,1073,1073,CALPADS Fall 1 Submission enrollment,KG-08,3
Repetto Elementary,060015310944,0600153,0600153,05501900200000,12218,380,12598,NRD,false,1,10079850,313500,10393350,19757130000000,19757136011100,Alhambra Unified,650 S. GRANDRIDGE AVE.,MONTEREY PARK,CA,91754,825,825,CALPADS Fall 1 Submission enrollment,KG-08,3
Frank Paul Elementary,060195007639,0601950,0601950,05502700100000,5681,441,6122,NRD,false,1,4493671,348831,4842502,27659610000000,27659616101802,Alisal Union,1300 RIDER AVE.,SALINAS,CA,93905,791,791,CALPADS Fall 1 Submission enrollment,KG-06,2
John E. Steinbeck Elementary,060195009694,0601950,0601950,05502700100000,6307,369,6676,NRD,false,1,3740051,218817,3958868,27659610000000,27659616109466,Alisal Union,1714 BURLINGTON DR.,SALINAS,CA,93906,596,593,CALPADS Fall 1 Submission enrollment,KG-06,2
Monte Bella Elementary,060195013182,0601950,0601950,05502700100000,5267,501,5768,NRD,false,1,4376877,416331,4793208,27659610000000,27659610127456,Alisal Union,1300 TUSCANY BLVD,SALINAS,CA,93905,831,831,CALPADS Fall 1 Submission enrollment,KG-06,2
Allensworth Elementary,060198000086,0601980,0601980,05505400100000,10990,400,11390,12470.34091,false,NRD,956130,34800,990930,54717950000000,54717956053839,Allensworth Elementary,3320 YOUNG RD.,ALLENSWORTH,CA,93219,88,87,CALPADS Fall 1 Submission enrollment,KG-08,3
Alliance Alice M. Baxter College-Ready High,060157213099,0601572,0601572,NRD,15148,1236,16384,NRD,false,1,4514104,368328,4882432,19647330127217,01272170127217,Alliance Alice M. Baxter College-Ready High,461 W. 9TH ST.,SAN PEDRO,CA,90731,298,298,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Cindy and Bill Simon Technology Academy High,060211912567,0602119,0602119,NRD,14252,1426,15678,NRD,false,1,7240016,724408,7964424,19647330121285,01212850121285,Alliance Cindy and Bill Simon Technology Academy High,10720 S. WILMINGTON AVE.,LOS ANGELES,CA,90059,508,508,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance College-Ready Middle Academy 12,060245313403,0602453,0602453,NRD,12111,1372,13483,12549.66887,false,NRD,5486283,621516,6107799,19647330128058,01280580128058,Alliance College-Ready Middle Academy 12,131 E. 50TH ST.,LOS ANGELES,CA,90011,453,453,CALPADS Fall 1 Submission enrollment,06-08,3
Alliance College-Ready Middle Academy 5,060213912474,0602139,0602139,NRD,15051,1508,16559,NRD,false,1,4003566,401128,4404694,19647330120048,01200480120048,Alliance College-Ready Middle Academy 5,211 S. AVE. 20,LOS ANGELES,CA,90031,266,266,CALPADS Fall 1 Submission enrollment,06-08,3
Alliance Collins Family College-Ready High,060166610871,0601666,0601666,NRD,13416,1235,14651,NRD,false,1,7995936,736060,8731996,19647330108936,01089360108936,Alliance Collins Family College-Ready High,2071 SATURN AVE.,HUNTINGTON PARK,CA,90255,596,596,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Dr. Olga Mohan High,060192611633,0601926,0601926,NRD,13395,1375,14770,NRD,false,1,6067935,622875,6690810,19647330111500,01115000111500,Alliance Dr. Olga Mohan High,644 W. 17TH ST.,LOS ANGELES,CA,90015,453,453,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Judy Ivie Burton Technology Academy High,060193410867,0601934,0601934,NRD,13791,1579,15370,NRD,false,1,8343555,955295,9298850,19647330108894,01088940108894,Alliance Judy Ivie Burton Technology Academy High,10101 S. BRD.WAY,LOS ANGELES,CA,90003,605,605,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Leichtman-Levine Family Foundation Environmental Science High,060169012342,0601690,0601690,NRD,14410,1340,15750,NRD,false,1,7147360,664640,7812000,19647330117606,01176060117606,Alliance Leichtman-Levine Family Foundation Environmental Science High,2930 FLETCHER DR.,LOS ANGELES,CA,90065,496,496,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Margaret M. Bloomfield Technology Academy High,060170712924,0601707,0601707,NRD,13868,1278,15146,NRD,false,1,7280700,670950,7951650,19647330124941,01249410124941,Alliance Margaret M. Bloomfield Technology Academy High,7907 SANTA FE AVE.,HUNTINGTON PARK,CA,90255,525,525,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Morgan McKinzie High,060240712259,0602407,0602407,NRD,12274,1408,13682,NRD,false,1,5376012,616704,5992716,19647330116509,01165090116509,Alliance Morgan McKinzie High,110 S. TOWNSEND AVE.,LOS ANGELES,CA,90063,438,438,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Ouchi-O'Donovan 6-12 Complex,060226611641,0602266,0602266,NRD,13678,1455,15133,13878.52284,false,NRD,14074662,1497195,15571857,19647330111641,01116410111641,Alliance Ouchi-O'Donovan 6-12 Complex,5356 S. FIFTH AVE.,LOS ANGELES,CA,90043,1029,1029,CALPADS Fall 1 Submission enrollment,06-12,4
Alliance Renee and Meyer Luskin Academy High,060227912848,0602279,0602279,NRD,13622,1496,15118,NRD,false,1,7110684,780912,7891596,19647330124891,01248910124891,Alliance Renee and Meyer Luskin Academy High,2941 W. 70TH ST.,LOS ANGELES,CA,90043,522,522,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Susan and Eric Smidt Technology High,060219012817,0602190,0602190,NRD,14736,1492,16228,NRD,false,1,7972176,807172,8779348,19647330123133,01231330123133,Alliance Susan and Eric Smidt Technology High,211 S. AVE. 20,LOS ANGELES,CA,90031,541,541,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Ted K. Tajima High,060156812766,0601568,0601568,NRD,13679,1259,14938,13807.50,false,NRD,5471600,503600,5975200,19647330123141,01231410123141,Alliance Ted K. Tajima High,1552 W. ROCKWOOD ST.,LOS ANGELES,CA,90026,400,400,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Tennenbaum Family Technology High,060228912572,0602289,0602289,NRD,14454,1303,15757,NRD,false,1,4292838,386991,4679829,19647330121293,01212930121293,Alliance Tennenbaum Family Technology High,2050 SAN FERNANDO RD.,LOS ANGELES,CA,90065,297,297,CALPADS Fall 1 Submission enrollment,09-12,4
Alliance Virgil Roberts Leadership Academy,060165413597,0601654,0601654,NRD,13236,1220,14456,13249.41176,false,NRD,5625300,518500,6143800,19647330128009,01280090128009,Alliance Virgil Roberts Leadership Academy,2941 W. 70TH ST.,LOS ANGELES,CA,90043,425,425,CALPADS Fall 1 Submission enrollment,06-08,3
Almond Acres Charter Academy,060194313176,0601943,0601943,NRD,9514,341,9855,NRD,false,1,2701976,96844,2798820,40688250125807,01258070125807,Almond Acres Charter Academy,1601 L ST.,SAN MIGUEL,CA,93451,284,284,CALPADS Fall 1 Submission enrollment,KG-08,3
Alpaugh Elementary,060201000087,0602010,0602010,05505400200000,12175,1257,13432,14444.47059,false,NRD,2970700,306708,3277408,54718030000000,54718036053847,Alpaugh Unified,5313 RD. 39,ALPAUGH,CA,93201,244,244,CALPADS Fall 1 Submission enrollment,KG-08,3
Alpaugh -Senior High,060201000088,0602010,0602010,05505400200000,13338,229,13567,14579.47059,false,NRD,1040364,17862,1058226,54718030000000,54718035430301,Alpaugh Unified,5313 RD. 39,ALPAUGH,CA,93201,78,78,CALPADS Fall 1 Submission enrollment,09-12,4
Tule Continuation High,060201001837,0602010,0602010,05505400200000,7109,229,7338,8350.470588,true,NRD,7109,229,7338,54718030000000,54718035430111,Alpaugh Unified,AVE. 52 AND BOSWELL AVE.,ALPAUGH,CA,93201,1,1,CALPADS Fall 1 Submission enrollment,10-12,4
Alpha Cindy Avitia High,060163613926,0601636,0601636,NRD,12367,1032,13399,12586.75799,false,NRD,5416746,452016,5868762,43694270132274,01322740132274,Alpha Cindy Avitia High,1881 CUNNINGHAM AVE.,SAN JOSE,CA,95122,438,438,CALPADS Fall 1 Submission enrollment,09-12,4
Alpha: Jose Hernandez,060214413757,0602144,0602144,NRD,11945,1612,13557,13548.73646,false,NRD,3308765,446524,3755289,43104390129213,01292130129213,Alpha: Jose Hernandez,1601 CUNNINGHAM AVE.,SAN JOSE,CA,95122,277,277,CALPADS Fall 1 Submission enrollment,KG-08,3
Bear Valley Elementary,060207014292,0602070,0602070,05500200100000,169713,4077,173790,173330.3038,false,NRD,339426,8154,347580,02613330000000,02613330137125,Alpine County Unified,550 CREEKSIDE DR.,BEAR VALLEY,CA,95223,2,2,CALPADS Fall 1 Submission enrollment,KG-05,2
Diamond Valley Elementary,060207000090,0602070,0602070,05500200100000,37995,2573,40568,40108.3038,false,NRD,2925615,198121,3123736,02613330000000,02613336002794,Alpine County Unified,35 HAWKSIDE DR.,MARKLEEVILLE,CA,96120,77,77,CALPADS Fall 1 Submission enrollment,KG-08,3
Boulder Oaks Elementary,060210009696,0602100,0602100,05503700100000,8489,540,9029,NRD,false,1,2826837,179820,3006657,37679670000000,37679676109086,Alpine Union Elementary,2320 TAVERN RD.,ALPINE,CA,91901,333,333,CALPADS Fall 1 Submission enrollment,01-05,2
Creekside Early Learning Center,060210010375,0602100,0602100,05503700100000,10064,371,10435,NRD,false,1,2304656,84959,2389615,37679670000000,37679676118723,Alpine Union Elementary,8818 HARBISON CANYON RD.,ALPINE,CA,91901,229,229,CALPADS Fall 1 Submission enrollment,KG-KG,1
Mountain View Learning Academy,060210007300,0602100,0602100,05503700100000,7574,239,7813,NRD,false,1,507458,16013,523471,37679670000000,37679676109953,Alpine Union Elementary,8770 HARBISON CANYON RD.,ALPINE,CA,91901,67,67,CALPADS Fall 1 Submission enrollment,KG-08,3
Shadow Hills Elementary,060210009112,0602100,0602100,05503700100000,8506,584,9090,NRD,false,1,3291822,226008,3517830,37679670000000,37679676106256,Alpine Union Elementary,8770 HARBISON CANYON RD.,ALPINE,CA,91901,387,387,CALPADS Fall 1 Submission enrollment,KG-05,2
Alta Loma Junior High,060216000094,0602160,0602160,05503600200000,9578,214,9792,10307.91322,false,NRD,6474728,144664,6619392,36675950000000,36675956035224,Alta Loma Elementary,9000 LEMON AVE.,ALTA LOMA,CA,91701,676,676,CALPADS Fall 1 Submission enrollment,07-08,3
Banyan Elementary,060216007259,0602160,0602160,05503600200000,9642,424,10066,10581.91322,false,NRD,5929830,260760,6190590,36675950000000,36675956114649,Alta Loma Elementary,10900 MIRADOR DR.,ALTA LOMA,CA,91737,615,615,CALPADS Fall 1 Submission enrollment,KG-06,2
